"Title","User-Agent Wildcard","User-Agent example","source","other"
"msxsl.exe",,,"https://lolbas-project.github.io/lolbas/OtherMSBinaries/Msxsl/","not tested"
"mspub.exe",,,"https://lolbas-project.github.io/lolbas/OtherMSBinaries/Mspub/","not tested"
"MsoHtmEd.exe",,,"https://lolbas-project.github.io/lolbas/OtherMSBinaries/MsoHtmEd/","not tested"
"cmdl32.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Cmdl32/","not tested"
"Finger.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Finger/","not tested"
"Diantz.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Diantz/","not tested"
"Ldifde.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Ldifde/","not tested"
"OneDriveStandaloneUpdater.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/OneDriveStandaloneUpdater/","not tested"
"esentutl.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Esentutl/","goes over WebDAV"
"expand.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Expand/","goes over WebDAV"
"Findstr.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Findstr/","goes over WebDAV"
"Makecab.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Makecab/","goes over WebDAV"
"replace.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/Replace/","goes over WebDAV"
"PrintBrm.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/PrintBrm/","UNC Path",
"MpCmdRun.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/MpCmdRun/","tested - not working"
"msedge_proxy.exe",,,"https://lolbas-project.github.io/lolbas/Binaries/msedge_proxy/","tested - not working"
"GfxDownloadWrapper.exe",,,"https://lolbas-project.github.io/lolbas/HonorableMentions/GfxDownloadWrapper/","tested - not working"
